"Name","Count"
"_ito_network@accruent.com","32"
"_ito_projects@accruent.com","2"
"_lx_engineeringteam@accruent.com","4"
"360facilityhosting@accruent.com","12"
"360facilityhostingoncall@accruent.com","2"
"360facilityqateam@accruent.com","4"
"360facilitysupportteamdl@accruent.com","2"
"accountspayable@accruent.com","1"
"accruentsupportteam@accruent.com","7"
"accruentworkflow@accruent.com","1"
"adminassist@accruent.com","4"
"allataccruent@accruent.com","1"
"allaustinfte@accruent.com","3"
"allbluecielofte@accruent.com","1"
"allbostonfte@accruent.com","1"
"allcalgaryfte@accruent.com","1"
"allconnectivfte@accruent.com","1"
"allindiafte@accruent.com","1"
"allisraelfte@accruent.com","1"
"allkykloudfte@accruent.com","1"
"alllondonfte@accruent.com","1"
"allminneapolisfte@accruent.com","2"
"allneworleansfte@accruent.com","1"
"allphoenixfte@accruent.com","1"
"allplanofte@accruent.com","1"
"allremotefte@accruent.com","1"
"allvancouverfte@accruent.com","1"
"allvaughanfte@accruent.com","1"
"analyticshostingoncall@accruent.com","6"
"applicationalerts@accruent.com","33"
"ar_healthcare@accruent.com","2"
"atcmchangesponsors@accruent.com","2"
"atlashosting@accruent.com","25"
"atlassqladmins@accruent.com","1"
"auditorreporting@accruent.com","1"
"bc_office_obninsk@accruent.com","1"
"bc_support@accruent.com","13"
"big_callcenter@accruent.com","76"
"bigmonarchdevelopment@accruent.com","1"
"bigmonarchengineers@accruent.com","1"
"bigmonarchqa@accruent.com","2"
"bigrolloutnotify@accruent.com","1"
"bigsupportteam@accruent.com","2"
"businessdevelopment@accruent.com","1"
"canadasales@accruent.com","7"
"cbreinvoice@accruent.com","1"
"connections@accruent.com","1"
"consulting@accruent.com","1"
"cppbireportingteam@accruent.com","2"
"creall@accruent.com","1"
"creepsprofessionalservices@accruent.com","1"
"cteam@accruent.com","5"
"dba@accruent.com","88"
"dba-oncall@accruent.com","271"
"devops@accruent.com","2"
"devsupport@accruent.com","179"
"dhcpnotifications@accruent.com","2"
"dogear@accruent.com","2"
"eduassessors2017@accruent.com","1"
"engineeringsupportsfdc@accruent.com","54"
"englinuxalerts@accruent.com","8"
"epmo@accruent.com","2"
"evocodba@accruent.com","28"
"evocohosting@accruent.com","3"
"evocosupportteam@accruent.com","16"
"expesitedatabaseops@accruent.com","1"
"expesitedevadmins@accruent.com","13"
"expesitedevteam@accruent.com","1"
"expesitehosting@accruent.com","15"
"expesitesupportteam@accruent.com","22"
"fourriversdatabaseops@accruent.com","14"
"psteam@accruent.com","3"
"salesdept@accruent.com","5"
"businessdevelopment@accruent.com","20"
"supportmgmt@accruent.com","110"
"qa@accruent.com","1"
"clientservices@accruent.com","1"
"dba@accruent.com","964"
"siterrahosting@accruent.com","896"
"sales-siterrainfo@accruent.com","3"
"dba-oncall@accruent.com","1000"
"siterrasupportteam@accruent.com","1000"
"hosting@accruent.com","49"
"famishosting@accruent.com","8"
"accruenthosting@accruent.com","2"
"siterrahostingoncall@accruent.com","111"
"itoperations@accruent.com","12"
"engineeringsupportsfdc@accruent.com","325"
"accruentsupportteam@accruent.com","32"
"supportteam@accruent.com","16"
"siterraproduct@accruent.com","3"
"famisproduct@accruent.com","1"
"famissupportteam@accruent.com","17"
"microstrategyadmin@accruent.com","333"
"itinvoices@accruent.com","17"
"salesvmonly@accruent.com","1"
"englinuxalerts@accruent.com","89"
"accruentqateam@accruent.com","2"
"famisproductmgmt@accruent.com","1"
"accruentdevteam@accruent.com","2"
"siterradevteam@accruent.com","6"
"siterraqateam@accruent.com","37"
"360facilityqateam@accruent.com","39"
"360facilitydevteam@accruent.com","2"
"360facilitysupportteamdl@accruent.com","24"
"engineeringservicesteam@accruent.com","2"
"engineeringservicescontractors@accruent.com","2"
"360facilityhosting@accruent.com","147"
"accruenthostingoncall@accruent.com","2"
"famisv4qateam@accruent.com","2"
"siterraengineeringteam@accruent.com","6"
"4sight@accruent.com","9"
"photo@accruent.com","5"
"newhirecreated@accruent.com","1"
"360facilityhostingoncall@accruent.com","8"
"evocosupportteam@accruent.com","134"
"evocohosting@accruent.com","19"
"famishostingoncall@accruent.com","4"
"expesitehosting@accruent.com","197"
"allatcolumbus@accruent.com","6"
"expesitesupportteam@accruent.com","176"
"cbreinvoice@accruent.com","10"
"expesitedevteam@accruent.com","19"
"expesitehostingoncall@accruent.com","11"
"atlasqateam@accruent.com","2"
"accruentworkflow@accruent.com","23"
"evocodba@accruent.com","290"
"evocoqateam@accruent.com","1"
"evocodevteam@accruent.com","1"
"wmsap@accruent.com","11"
"wmna@accruent.com","35"
"sourcingsupport@accruent.com","1"
"atlashosting@accruent.com","190"
"atlassqladmins@accruent.com","2"
"siterrapsteam@accruent.com","5"
"atlaspmqateam@accruent.com","2"
"atlasplatform@accruent.com","2"
"atlasprojectmanagers@accruent.com","2"
"atlasproductteam@accruent.com","4"
"atlasengineeringservices@accruent.com","2"
"atlasdocumentationteam@accruent.com","2"
"atlasengineeringteam@accruent.com","2"
"atlasleadership@accruent.com","2"
"expesiteqateam@accruent.com","6"
"allatcanadacontractors@accruent.com","1"
"osrb@accruent.com","1"
"mikevm@accruent.com","2"
"allofengineering@accruent.com","5"
"siterrasales@accruent.com","4"
"atlasps@accruent.com","2"
"siterramanagement@accruent.com","4"
"leaseadminsupportteam@accruent.com","56"
"techreportingsupportteam@accruent.com","35"
"atlastoolsdevteam@accruent.com","2"
"siterraesteam@accruent.com","8"
"atlasprodnotification@accruent.com","4"
"facilitymanagementsupportteam@accruent.com","163"
"accountmanagement@accruent.com","1"
"peopleteamsuse@accruent.com","8"
"atlasdwqateam@accruent.com","2"
"atlasreleasenotifications@accruent.com","2"
"sitefmsupportteam@accruent.com","228"
"sitefmhosting@accruent.com","257"
"healthcaresupportteam@accruent.com","223"
"atlasdatawarehouse@accruent.com","2"
"atlasarchitecture@accruent.com","2"
"sitefmhostingoncall@accruent.com","5"
"atcmchangesponsors@accruent.com","7"
"atcmboardmembers@accruent.com","2"
"fourrivershosting@accruent.com","23"
"fourrivershostingoncall@accruent.com","19"
"vfahosting@accruent.com","189"
"vfahostingoncall@accruent.com","17"
"fourriverselearning@accruent.com","1"
"hostingticket@accruent.com","10"
"strategyteam@accruent.com","5"
"hrteamuse@accruent.com","17"
"mobileapidevteam@accruent.com","2"
"webinars@accruent.com","232"
"professionalservices-indy@accruent.com","7"
"connections@accruent.com","13"
"senchadev@accruent.com","3"
"auditor-touch-qa@accruent.com","119"
"mechanical-1@accruent.com","1"
"netadminalerts@accruent.com","28"
"ficp@accruent.com","1"
"info@accruent.com","262"
"reportdeployment@accruent.com","52"
"professionalservicesremote@accruent.com","7"
"consulting@accruent.com","6"
"vfaprojectmanagers@accruent.com","32"
"canadasales@accruent.com","59"
"vfaprojectdirectors@accruent.com","32"
"crocodiledevteam@accruent.com","2"
"crocodileqateam@accruent.com","2"
"expesiteservices@accruent.com","6"
"vfasupport@accruent.com","96"
"itdls@accruent.com","3"
"itnotifications@accruent.com","1"
"itpurchases@accruent.com","2"
"architects@accruent.com","4"
