Name	PrimarySmtpAddress
[VER] EAMDev	ver_prddevsupport@accruent.com
[VER] EEformsubmit	ver_eeformsubmit@accruent.com
[VER] Energy	ver_energy@accruent.com
[VER] Enterprise Reports	ver_enterprise-reports@accruent.com
[VER] ExecutiveTeam	ver_executiveteam@accruent.com
[VER] Feedback	ver_feedback@accruent.com
[VER] Field All	ver_fieldall@accruent.com
[VER] FieldServices	ver_fieldservices@accruent.com
[VER] Fulfillment	ver_fulfillment@accruent.com
[VER] GridControl	ver_gridcontrol@accruent.com
[VER] Hara	ver_Hara@accruent.com
[VER] hostmaster	ver_hostmastser@accruent.com
[VER] HR	ver_hr@accruent.com
[VER] IT	ver_IT@accruent.com
[VER] JLPQueryStudio	ver_JLPQueryStudio@accruent.com
[VER] LM_INFRA	ver_lm_infra@accruent.com
[VER] LM_NOC	ver_lm_noc@accruent.com
[VER] LM_SYSOPS	ver_lm_sysops@accruent.com
[VER] Marketing group	ver_marketing@accruent.com
[VER] marketing	ver_marketing@hara.com
[VER] MinneapolisAll	ver_MinneapolisAll@accruent.com
[VER] Minneapoliscont	ver_mplscontractors@accruent.com
[VER] MobileBeta	ver_MobileBeta@accruent.com
[VER] NG Bailey Energy	ver_ngbenergy@accruent.com
[VER] NOBSsyncerrors	ver_nobs_sync_errors@accruent.com
[VER] NonUSNotificati	ver_NonUSNotifications@accruent.com
[VER] Onboard	ver_onboard@accruent.com
[VER] OperationsTeam	ver_ops@accruent.com
[VER] OWBRPT	ver_owb_rpt@accruent.com
[VER] particle_dev	ver_particle_dev@accruent.com
[VER] Partners	ver_partners@accruent.com
[VER] Product Marketing	ver_productmarketing@accruent.com
[VER] ProductionAlert	ver_prod_alert@accruent.com
[VER] ProductManageme	ver_Product-Management@accruent.com
[VER] Products	ver_products@accruent.com
[VER] ProfessionalSer	ver_profservices@accruent.com
[VER] QueryStudio	ver_QueryStudio@accruent.com
[VER] Reports	ver_reports@accruent.com
[VER] RWE - Phaseware	ver_rwe@accruent.com
[VER] SainsburyQueryS	ver_SBESAgent@accruent.com
[VER] SainsburysProje	ver_sainsburysteam@accruent.com
[VER] Sales group	ver_sales@accruent.com
[VER] Salesinfo	ver_salesinfo@accruent.com
[VER] SalesMarketing	ver_sales-marketing@accruent.com
[VER] SalesStrategy	ver_sales-strategy@accruent.com
[VER] SoftwareSupport	ver_softwaresupport@accruent.com
[VER] SolutionEnginee	ver_solutionengineering@accruent.com
[VER] SSL Managed Service	ver_sslmanagedservice@accruent.com
[VER] SSRSReportRecip	ver_SSRSReportRecipients@accruent.com
[VER] SSRSReports	ver_ssrs-reports@accruent.com
[VER] supportq	ver_supportq@accruent.com
[VER] Survey group	ver_survey@accruent.com
[VER] Survey Support	ver_surveysupport@accruent.com
[VER] SurveyFaxes	ver_BashasSurveyFaxes@accruent.com
[VER] SVNAdmin	ver_svn_admin@accruent.com
[VER] USNotifications	ver_USNotifications@accruent.com
[VER] Verisae All	ver_verisae@accruent.com
[VER] Verisae Asia	ver_VerisaeAsia@accruent.com
[VER] Verisae BI	ver_VerisaeBI@accruent.com
[VER] Verisae Cognos	ver_cognos@accruent.com
[VER] Verisae Consulting	ver_consulting@accruent.com
[VER] Verisae Engineering Minneapolis	ver_verisaeengineeringmsp@accruent.com
[VER] Verisae Europe	ver_verisaeeurope@accruent.com
[VER] Verisae JIRA	ver_jirateam@accruent.com
[VER] Verisae Minneapolis	ver_verisaempls@accruent.com
[VER] Verisae Release Notes	ver_releasenotes@accruent.com
[VER] Verisae Remote	ver_verisae_remote@accruent.com
[VER] Verisae Systems Admins	ver_veriadmin@accruent.com
[VER] Verisae Technical Support	ver_support@accruent.com
[VER] Verisae UK	ver_VerisaeUK@accruent.com
[VER] Verisae_QA	ver_verisae_qa@accruent.com
[VER] Verisae_Translators	ver_verisaetranslators@accruent.com
[VER] ViryanetAll	ver_viryanetall@accruent.com
[VER] ViryanetCore	ver_ViryanetCore@accruent.com
