"Details 192.168.250.129 ","tok1-dist1.tfn.com ","This IP's assignment information does not match DNS or ServiceManager (since 113012)"
"Details 192.168.250.131 ","aujpjptokdaiwcp-a01.tfn.com ","This IP's assignment information does not match DNS or ServiceManager (since 113012)"
"Details 10.51.0.21 ","pvdr.int.thomsonreuters.com ","This IP's assignment information does not match DNS or ServiceManager (since 050713)"
"Details 10.52.128.60 ","C111PESCSDBB1 ","Does not respond to ping (since 012913)"
"Details 10.52.128.61 ","C111XZZOFDBB1 ","Does not respond to ping (since 012913)"
"Details 10.52.128.67 ","C574KEXOFDBB2 ","Does not respond to ping (since 012913)"
"Details 10.52.128.69 ","C613QFPCSDBB2 ","Does not respond to ping (since 012913)"
"Details 10.52.133.58 ","c237mkh ","Does not respond to ping (since 012913)"
"Details 10.52.133.59 ","c946wpw ","Does not respond to ping (since 012913)"
"Details 10.52.133.60 ","c451utq ","Does not respond to ping (since 012913)"
"Details 10.52.133.61 ","c662yxu ","Does not respond to ping (since 012913)"
"Details 10.52.133.66 ","C582MCK ","Does not respond to ping (since 012913)"
"Details 10.52.133.67 ","C574KEXOFDBB2 ","Does not respond to ping (since 012913)"
"Details 10.52.133.68 ","C268CUC ","Does not respond to ping (since 012913)"
"Details 10.52.133.69 ","C613QFPCSDBB2 ","Does not respond to ping (since 012913)"
"Details 10.206.19.107 ","pvcluster.int.thomsonreuters.com ","This IP's assignment information does not match DNS or ServiceManager (since 050713)"
"Details 10.220.20.141 ","EG-ELTVMDV-B12 ","Does not respond to ping (since 031213)"
"Details 10.220.20.142 ","EG-ELTVMDV-B13 ","Does not respond to ping (since 031213)"
"Details 10.220.20.143 ","eg-eltvmdv-b14 ","Does not respond to ping (since 031213)"
"Details 10.220.20.144 ","eg-eltvmdv-b15 ","Does not respond to ping (since 031213)"
"Details 10.220.24.231 ","EG-TFSSQLD-B01 ","Does not respond to ping (since 031913)"
"Details 10.220.94.42 ","EG-TFSSQL-A02 ","Does not respond to ping (since 031913)"
"Details 167.68.238.194 ","eg-carstwb-a03 ","Does not respond to ping (since 031913)"
"Details 167.68.238.195 ","eg-carstwb-a03 ","Does not respond to ping (since 031913)"
"Details 10.51.2.74 ","c711tmecmgs01.ten.thomsonreuters.com ","Does not respond to ping (since 032113)"
"Details 10.52.130.98 ","C265EZJGRCSNP ","Does not respond to ping (since 012913)"
"Details 10.52.134.51 ","C111UBRLHUB03 ","Does not respond to ping (since 012913)"
"Details 10.52.142.43 ","c720bvwcmgs01.ten.thomsonreuters.com ","Does not respond to ping (since 032113)"
"Details 10.52.142.57 ","C828QPKQFS02 ","Does not respond to ping (since 021213)"
"Details 10.55.129.7 ","c951jrx.mgmt.tlrg.com ","This IP's assignment information does not match DNS or ServiceManager (since 030113)"
"Details 10.59.176.75 ","RA-C888UXQMPUB01 ","Does not respond to ping (since 020513)"
"Details 10.204.32.129 ","c696xvjtftta.tlr.thomson.com ","This IP's assignment information does not match DNS or ServiceManager (since 051313)"
"Details 10.204.64.96 ","c221dyhegnd06.tlr.thomson.com ","This IP's assignment information does not match DNS or ServiceManager (since 021213)"
"Details 10.204.64.97 ","c494hqvegnd07.tlr.thomson.com ","This IP's assignment information does not match DNS or ServiceManager (since 021213)"
"Details 10.204.64.100 ","c290fscegnd10.tlr.thomson.com ","This IP's assignment information does not match DNS or ServiceManager (since 021113)"
"Details 10.204.64.114 ","c014mszgrdb2e ","Does not respond to ping (since 011113)"
"Details 10.204.64.115 ","c329hbvgrdb2f ","Does not respond to ping (since 011113)"
"Details 10.205.69.10 ","boardlinkdav-dev.accelus.com ","This IP's assignment information does not match DNS or ServiceManager (since 062713)"
"Details 10.206.16.214 ","cubiscan-test.int.westgroup.com ","This IP's assignment information does not match DNS or ServiceManager (since 070113)"
"Details 10.215.31.40 ","c234qgj.ecom.tlrg.com ","This IP's assignment information does not match DNS or ServiceManager (since 032513)"
"Details 10.221.65.41 ","EG-TASQL-B01 ","Does not respond to ping (since 031813)"
"Details 10.225.4.136 ","tss1vdev0104.tshhosting.com ","Does not respond to ping (since 120712)"
"Details 163.231.83.217 ","pfsso.int.thomsonreuters.com ","Does not respond to ping (since 011213)"
"Details 163.231.94.89 ","eg-hdsadm-a04.int.westgroup.com ","Does not respond to ping (since 030313)"
"Details 163.231.99.40 ","koro ","Does not respond to ping (since 020413)"
"",,
