"Name","DisplayName","Alias","PrimarySmtpAddress"
"Contract Services","Contract Services","CS","CS@Accruent.com"
"Jobs at Accruent","Jobs at Accruent","jobs","jobs@Accruent.com"
"[SAL] Business Development-1","Business Development","BusinessDevelopment","BusinessDevelopment@Accruent.com"
"Data Services","Data Services","DataServices","DataServices@Accruent.com"
"Sprint Forum","Sprint Forum","SprintForum","SprintForum@Accruent.com"
"SIterra-SLA","SIterra-SLA","SIterra-SLA","SIterra-SLA@Accruent.com"
"Sprint IB Merge","Sprint IB Merge","SprintIBMerge","SprintIBMerge@Accruent.com"
"Solution Consultants","Solution Consultants","SolutionConsultants","SolutionConsultants@Accruent.com"
"Siterra Dev Management","Siterra Dev Management","siterradevmgmt","siterradevmgmt@Accruent.com"
"Client Services","Client Services","ClientServices","ClientServices@Accruent.com"
"Siterra Hosting","Siterra Hosting","SiterraHosting","SiterraHosting@Accruent.com"
"DBA","DBA","DBA","DBA@Accruent.com"
"BlackBerry Users","BlackBerry Users","blackberry","blackberry@Accruent.com"
"ENG Linux Alerts","ENG Linux Alerts","ENGLinuxAlerts","ENGLinuxAlerts@Accruent.com"
"Sales-Siterrainfo","Sales-Siterrainfo","Sales-Siterrainfo","Sales-Siterrainfo@Accruent.com"
"Siterra Hosting Alert","Siterra Hosting Alert","SiterraHostingAlert","SiterraHostingAlert@Accruent.com"
"QA","QA","QA","QA@Accruent.com"
"EA Team","EA Team","EATeam","EATeam@Accruent.com"
"Sales VM Only","Sales VM Only","SalesVMOnly","SalesVMOnly@Accruent.com"
"Sharepoint CEO","Sharepoint CEO","SharepointCEO","SharepointCEO@accruent.com"
"[CON] Contractor Communications","[CON] Contractor Communications","contractorcommunications","contractorcommunications@Accruent.com"
"Sharepoint Sales VP","Sharepoint Sales VP","SharepointSalesVP","SharepointSalesVP@accruent.com"
"rmorillforward","rmorillforward","rmorillforward","rmorillforward@accruent.com"
"Data Warehouse QA","Data Warehouse QA","DataWarehouseQA","DataWarehouseQA@Accruent.com"
"Sourcing Support","Sourcing Support","SourcingSupport","SourcingSupport@Accruent.com"
"wendadmin","wendadmin","wendadmin","wendadmin@Accruent.com"
"Toronto_General_VM","Toronto_General_VM","Toronto_General_VM","Toronto_General_VM@accruent.com"
"JStockton VM","JStockton VM","jstocktonvm","jstocktonvm@Accruent.com"
"Project Acorn","Project Acorn","ProjectAcorn","ProjectAcorn@accruent.com"
"LAReview","LAReview","LAReview","LAReview@accruent.com"
"Employee Newsletter","Employee Newsletter","EmployeeNewsletter","EmployeeNewsletter@accruent.com"
"Applications Alerts","Applications Alerts","ApplicationAlerts","applicationalerts@accruent.com"
"Corporate Leadership Team","Corporate Leadership Team","CorporateLeadershipTeam","CorporateLeadershipTeam@Accruent.com"
"Graphics","Graphics","Graphics","Graphics@Accruent.com"
"Siterra Tier Two","Siterra Tier Two","siterratiertwo","siterratiertwo@Accruent.com"
"G&A","G&A","GA","GA@Accruent.com"
"Four Rivers AGN Networks","Four Rivers AGN Networks","fourriversagnnetworks","fourriversagnnetworks@Accruent.com"
"4sight","4sight","4sight","4sight@Accruent.com"
"spendmgrreporting","spendmgrreporting","spendmgrreporting","spendmgrreporting@Accruent.com"
"QA-Biztalk","QA-Biztalk","QA-Biztalk","QA-Biztalk@Accruent.com"
"info","info","info","info@accruent.com"
"MSTR-Reports","MSTR-Reports","MSTR-Reports","MSTR-Reports@Accruent.com"
"IT Purchases","IT Purchases","ITPurchases","ITPurchases@Accruent.com"
"VZW_UAT","VZW_UAT","vzw_uat","vzw_uat@Accruent.com"
"IQP Monitoring","IQP Monitoring","IQPMonitoring","IQPMonitoring@Accruent.com"
"IT Alerts","IT Alerts","ITAlerts","ITAlerts@Accruent.com"
"IT Projects","IT Projects","itprojects","itprojects@Accruent.com"
"Expesite Hosting","Expesite Hosting","expesitehosting","expesitehosting@Accruent.com"
"Microstrategy Admin","Microstrategy Admin","MicrostrategyAdmin","MicrostrategyAdmin@Accruent.com"
"IT DLs","IT DLs","itdls","itdls@Accruent.com"
"Expesite Support","Expesite Support Team","expesitesupportteam","expesitesupportteam@Accruent.com"
"Events","Events","events","events@Accruent.com"
"Conference Room Management","Conference Room Management","conferenceroommgmt","conferenceroommgmt@Accruent.com"
"IT Notifications","IT Notifications","ITNotifications","ITNotifications@Accruent.com"
"Accruent Support Team","Accruent Support Team","AccruentSupportTeam","AccruentSupportTeam@Accruent.com"
"Facilities Group Security","Facilities Group Security","Facilities3","Facilities3@accruentatlas.onmicrosoft.com"
"Sales Dept","Sales Dept","SalesDept","SalesDept@Accruent.com"
"HR Team Use","HR Team Use","hrteamuse","hrteamuse@Accruent.com"
"Lease Admin Support Team","Lease Admin Support Team","LeaseAdminSupportTeam","LeaseAdminSupportTeam@Accruent.com"
"Tech Reporting Support Team","Tech Reporting Support Team","TechReportingSupportTeam","TechReportingSupportTeam@Accruent.com"
"Four Rivers eSales","Four Rivers eSales","fourriversesales","fourriversesales@Accruent.com"
"Apollo Dev","Apollo Dev","ApolloDev","ApolloDev@Accruent.com"
"360 Facility QA Dept","360 Facility QA Dept","360FacilityQADept","360FacilityQADept@Accruent.com"
"Siterra QA Dept","Siterra QA Dept","SiterraQADept","SiterraQADept@Accruent.com"
"REM Development","REM Development","remdev","remdev@Accruent.com"
"cluster-status","cluster-status","cluster-status","cluster-status@Accruent.com"
"Expesite Firewall Alerts","Expesite Firewall Alerts","expesitefwalerts","expesitefwalerts@Accruent.com"
"Evoco Product","Evoco Product","evocoproduct","evocoproduct@Accruent.com"
"FamisV4 Dev Team","FamisV4 Dev Team","FamisV4DevTeam","FamisV4DevTeam@Accruent.com"
"Atlas DW QA Team","Atlas DW QA Team","AtlasDWQATeam","AtlasDWQATeam@Accruent.com"
"Engineering Dev Contractors","Engineering Dev Contractors","EngineeringDevContractors","EngineeringDevContractors@Accruent.com"
"Bonsai Project","Bonsai Project","BonsaiProject","BonsaiProject@Accruent.com"
"Expesite Sales","Expesite Sales","expesitesales","expesitesales@Accruent.com"
"DBA-Oncall","DBA-Oncall","DBA-Oncall","DBA-Oncall@Accruent.com"
"All at Canada Remote","All at Canada Remote","allatcanadaremote","allatcanadaremote@Accruent.com"
"Connections","Connections","Connections","Connections@accruent.com"
"DeploymentEng","DeploymentEng","DeploymentEng","DeploymentEng@Accruent.com"
"360Facility Web Services","360Facility Web Services","360FacilityWebServices","360FacilityWebServices@Accruent.com"
