"Name","Alias","PrimarySmtpAddress","RecipientTypeDetails"
"[MSP] mspoffice6623","office6623","office6623@accruent.com","RoomMailbox"
"[AUS-M] The Capitol - Break Room","TheCapitol","TheCapitol@Accruent.com","RoomMailbox"
"[AUS-C] Gotham - Conference Room - 10","Gotham","Gotham@Accruent.com","RoomMailbox"
"UX iPad 1","uxipad1","uxipad1@Accruent.com","RoomMailbox"
"[LX] Breakout Room 3","lxroomplanobrk3","lxroomplanobrk3@accruentatlas.onmicrosoft.com","RoomMailbox"
"APPA","APPA","APPA@Accruent.com","RoomMailbox"
"[MSP] mspoffice6630","office6630","office6630@accruent.com","RoomMailbox"
"NRTA Meeting 2014","nrtameeting","nrtameeting@Accruent.com","RoomMailbox"
"[AUS-E] Hotel 2","hotel2","hotel2@accruent.com","RoomMailbox"
"UX Surface","uxsurface","uxsurface@Accruent.com","RoomMailbox"
"360 University","360U","360U@Accruent.com","RoomMailbox"
"[YVR] Vancouver - Conf Rm","burnaby","burnaby@Accruent.com","RoomMailbox"
"[AUS-E] The Board Room","boardroom","boardroom@accruent.com","RoomMailbox"
"ORBITEL-DEMO","orbitel-demo","orbitel-demo@Accruent.com","RoomMailbox"
"[AUS-C] Graceland - Conference Room - 10 - Private","Graceland","Graceland@Accruent.com","RoomMailbox"
"ems_PikesPeak","ems_PikesPeak","ems_PikesPeak@accruent.com","RoomMailbox"
"[PHX] Schrute Farms","schrutefarms","schrutefarms@accruent.com","RoomMailbox"
"[BC] NL Orange  Boardroom","bc_NLOrangeBoardroom","bc_nl.orange.meetingroom@accruent.com","RoomMailbox"
"[PHX] Sedona","phx_Sedona","phx_sedona@accruent.com","RoomMailbox"
"[BOS] Hotel Office 4","boshotel4","boshotel4@accruent.com","RoomMailbox"
"[PHX] Flagstaff Room","phx_flagstaffroom","phx_flagstaffroom@accruent.com","RoomMailbox"
"[SM] Sayulita - Conf Rm","Sayulita","Sayulita@Accruent.com","RoomMailbox"
"[BC] NL London Boardroom","bc_NLLondonBoardroom","bc_nl.london.flexoffice@accruent.com","RoomMailbox"
"[LX] Executive Office","lxroomplanoexec","lxroomplanoexec@accruentatlas.onmicrosoft.com","RoomMailbox"
"[MSP] CallRoomF","callroomf","callroomf@accruent.com","RoomMailbox"
"ems_Demo5","ems_Demo5","ems_Demo5@accruent.com","RoomMailbox"
"ems_Demo9","ems_Demo9","ems_Demo9@accruent.com","RoomMailbox"
"[VAU] Training Room - Conf Rm","Vaughantrainingroom","Vaughantrainingroom@Accruent.com","RoomMailbox"
